商品名称,价格,地区,销量,评论数,商品链接,图片
【购机享6期免息】Redmi K40S 红米手机快充智能小米官方旗舰店官网正品红米 红米K40 50,1999.00,北京,10000,10965,https://detail.tmall.com/item.htm?id=669569182078&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/1714128138/O1CN01u03Gno29zFwn3Hidx_!!0-item_pic.jpg
[官方旗舰]4G全网通纽曼M560正品老年手机超长待机老人机大屏幕大字大声音男女士电信版学生专用智能按键,79.00,广东,10000,129144,https://detail.tmall.com/item.htm?id=522900342691&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/1707225666/O1CN014u2n851rj4oE8GcwG_!!0-item_pic.jpg
【至高立减1100元 移动用户专享】Apple/苹果iPhone 13手机苹果13中国移动官旗苹果5G官方旗舰店,6799.00,浙江,10000,12754,https://detail.tmall.com/item.htm?id=656171271212&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1776456424/O1CN01R02KVK1xKF5icq0e3_!!0-item_pic.jpg
【立即抢购】小米/红米Redmi Note 11 Pro 5G红米手机一亿像素拍照智能全面屏游戏小米官方旗舰店,1599.00,北京,10000,48410,https://detail.tmall.com/item.htm?id=655021793267&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/1714128138/O1CN010BZfPE29zFwlrablq_!!0-item_pic.jpg
【至高省800元 赢线控耳机】vivo iQOO 9新品骁龙8智能120W闪充5g游戏电竞手机vivoiqoo9爱酷官方旗舰店官网,4399.00,广东,10000,11957,https://detail.tmall.com/item.htm?id=665429563762&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/883737303/O1CN01sYC0oX23opEQOpP4U_!!0-item_pic.jpg
【至高优惠200元】OPPOK9x 5G手机智能拍照全面屏新款学生游戏oppo手机官网旗舰店官方正品oppok9x,1299.00,广东,10000,11925,https://detail.tmall.com/item.htm?id=664379829377&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/901409638/O1CN01l3eIN72L4G2u8UoDz_!!0-item_pic.jpg
【购机优惠200元】OPPOK9s 5G手机智能拍照全面屏游戏手机排行榜oppo手机官网旗舰店官方正品学生机oppok9s,1399.00,广东,10000,16790,https://detail.tmall.com/item.htm?id=656448201064&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/901409638/O1CN014j5VfN2L4G2wQT9AX_!!0-item_pic.jpg
【赠充电器】HUAWEI/华为 P50 HarmonyOS2原色双影像单元新款华为智能手机新款华为官方旗舰店p50pro同系列,4488.00,广东,10000,8266,https://detail.tmall.com/item.htm?id=656714563274&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2838892713/O1CN01v87GsM1VubI4zCvYs_!!0-item_pic.jpg
【立即抢购 购机享24期免息】Xiaomi 125g手机骁龙8智能游戏拍照小米官方旗舰店官网红米安卓小米12,3699.00,北京,10000,12665,https://detail.tmall.com/item.htm?id=661566432117&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1714128138/O1CN01j9ELun29zFwfY4KNA_!!0-item_pic.jpg
【品质小金刚】小米红米Redmi Note 11 4G 手机5000万高清三摄5000mAh大电量拍照游戏智能官方旗舰店note11,969.00,北京,10000,11156,https://detail.tmall.com/item.htm?id=661128946227&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1714128138/O1CN01NTSQ0i29zFwfjiJHa_!!0-item_pic.jpg
【24期免息 晒单赠闪充套装】vivo X80新品旗舰手机天玑9000蔡司拍照智能5G游戏全面屏120Hz官方旗舰店官网,3699.00,广东,10000,10028,https://detail.tmall.com/item.htm?id=670819533653&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2207440821122/O1CN01oheCXk1K9v9QgRZRQ_!!0-item_pic.jpg
【24期免息 至高优惠50元】OPPO Reno8 5G手机智能拍照官网正品新款游戏大内存学生oppo旗舰店reno,2449.00,广东,10000,2913,https://detail.tmall.com/item.htm?id=674693295275&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/901409638/O1CN01v3s7e32L4G2qwj3Iu_!!0-item_pic.jpg
Apple/苹果 iPhone 12支持移动联通电信5G双卡双待官方旗舰店自营正品新品游戏手机,5119.00,浙江,10000,1125,https://detail.tmall.com/item.htm?id=676071545899&ns=1&abbucket=1,https:https://picasso.alicdn.com/imgextra/O1CNA1yPx5Xh2FLJ5zQZQRD_!!2213856588863-0-psf.jpg
【推荐购买10A 老年机备用机优选】小米红米9A 5000mAh大电量大屏幕智能拍照手机官方旗舰店官网redmi 9a,799.00,北京,9000,179046,https://detail.tmall.com/item.htm?id=623346006409&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/1714128138/O1CN01C8i2Jk29zFwoITJBC_!!0-item_pic.jpg
【立即抢购 购机享6期免息】Xiaomi 12X 5g骁龙870处理器智能全面屏幕小米12X官网手机小米官方旗舰店,2999.00,北京,9000,3659,https://detail.tmall.com/item.htm?id=661981529770&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1714128138/O1CN01ZQjDJ229zFwi8U1Sn_!!0-item_pic.jpg
【抢6台5折 至高省500赢双肩包】vivo iQOO Z5骁龙长续航学生闪充游戏5g大电池手机爱酷官方旗舰店vivoiqooz5,1849.00,广东,9000,19863,https://detail.tmall.com/item.htm?id=655581814644&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/883737303/O1CN01iDppnx23opEXSWDWU_!!0-item_pic.jpg
HONOR/荣耀60 5G手机高通骁龙芯片 AI识别 Vlog隔空换镜 大内存官方旗舰店官网正品全新智能游戏拍照50,2499.00,广东,9000,23495,https://detail.tmall.com/item.htm?id=660510448654&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1114511827/O1CN010Tkuim1PMoNJfd87C_!!0-item_pic.jpg
HONOR/荣耀畅玩20 4G手机5000mAh大电池6.5英寸高清护眼屏震撼大音量新款官方旗舰店官网正品学生备用老人机,899.00,广东,8000,28652,https://detail.tmall.com/item.htm?id=642412164165&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1114511827/O1CN01HQvXyz1PMoNNmxTp1_!!2-item_pic.png
HUAWEI/华为nova9 SE 新款华为智能手机一亿像素66W超级快充全面屏华为官方旗舰店正品学生机,2199.00,广东,8000,4756,https://detail.tmall.com/item.htm?id=669297864781&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2838892713/O1CN01i0EeVZ1VubIAWXVvL_!!0-item_pic.jpg
【赠1年延保】Apple/苹果iPhone 13 Pro支持移动联通电信5G双卡双待官方旗舰店自营正品新品游戏,7999.00,浙江,8000,1313,https://detail.tmall.com/item.htm?id=672991329650&ns=1&abbucket=1,https:https://picasso.alicdn.com/imgextra/O1CNA1C8CvTj2FLJ61w5Oxy_!!2213856588863-0-psf.jpg
移动用户专享330xiaomi小米Redmi红米K50 5G手机中国移动官旗旗舰新品智能红米小米k50官网正品小米官方旗舰,2399.00,浙江,8000,1178,https://detail.tmall.com/item.htm?id=669844557178&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/1776456424/O1CN011WBlWe1xKF5P3LGW3_!!0-item_pic.jpg
【立即抢购 购机享24期免息】Xiaomi 12Pro5g手机骁龙8智能游戏拍照小米官方旗舰店红米安卓小米12pro,4699.00,北京,8000,10072,https://detail.tmall.com/item.htm?id=661557924703&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/1714128138/O1CN014AZrx629zFwtmDkek_!!0-item_pic.jpg
【至高立减1100元 移动用户专享 中国移动官旗】苹果13手机iPhone13苹果手机官方旗舰店苹果5G,6799.00,浙江,8000,4147,https://detail.tmall.com/item.htm?id=655405261024&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1776456424/O1CN01uwv36U1xKF5iALER1_!!0-item_pic.jpg
【3期免息赢耳机背包】iQOO Neo6 SE新品骁龙870智能5g新款游戏电竞手机爱酷官方旗舰店vivoiqoo 活力版 iqqo,2299.00,广东,7000,3481,https://detail.tmall.com/item.htm?id=673729867178&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/883737303/O1CN01k93es523opEaG8HvB_!!0-item_pic.jpg
[4G全网通]关爱心G1三防老人机超长待机正品电信版移动联通老年手机大屏大字大声音女学生专用非智能按键,78.00,广东,7000,70745,https://detail.tmall.com/item.htm?id=594428613643&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2200796017848/O1CN016LhlLr27qR1IWaJ7T_!!0-item_pic.jpg
HONOR/荣耀70 Pro 5G智能手机行业首发IMX800三主摄 Vlog主角模式拍摄 天玑8000旗舰芯片 100W超级快充,3699.00,广东,7000,1491,https://detail.tmall.com/item.htm?id=673693960616&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/1114511827/O1CN01qwM2wn1PMoND08dye_!!0-item_pic.jpg
【至高立减200 会员赠耳机】vivo Y32智能游戏手机大内存电池 vivo官方旗舰店官网正品功能机学生机y32,1099.00,广东,7000,5914,https://detail.tmall.com/item.htm?id=664498716996&ns=1&abbucket=1,https:https://picasso.alicdn.com/imgextra/O1CNA1N8KYaQ1K9v9BQHRm0_!!2207440821122-0-psf.jpg
HONOR/荣耀Play6T 5G手机5000mAh大电池22.5W快充新款官方旗舰店正品学生游戏拍照商务智能安卓5TX30,1199.00,广东,6000,2782,https://detail.tmall.com/item.htm?id=671409753654&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1114511827/O1CN01ZQ4Y8R1PMoNE31491_!!0-item_pic.jpg
【备用机老年机】小米红米手机Redmi 10A 大电量大屏幕大音量小米官方旗舰店9a9A老年机备用机,699.00,北京,6000,3210,https://detail.tmall.com/item.htm?id=670181997446&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/1714128138/O1CN01z6m5Un29zFwkfrfph_!!0-item_pic.jpg
HONOR/荣耀Play6T Pro新款5G手机40W快充6.7英寸高刷护眼大屏7.45mm超薄设计官方旗舰店官网正品学生游戏X30,1399.00,广东,6000,2896,https://detail.tmall.com/item.htm?id=672157987250&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/1114511827/O1CN01La1sPP1PMoNSHeDFo_!!0-item_pic.jpg
【24期免息 晒单赠双肩包】vivo S15新品骁龙870拍照智能游戏电竞学生5G正品手机官方旗舰店S12pro新款,2699.00,广东,6000,2902,https://detail.tmall.com/item.htm?id=674689655295&ns=1&abbucket=1,https:https://picasso.alicdn.com/imgextra/O1CNA1P13NI81K9v9Di0P86_!!2207440821122-0-psf.jpg
【至高省800 整点赢双肩包】vivo iQOO Neo5S新品手机高通骁龙888游戏爱酷正品官方旗舰店iqooneoneo5s,2499.00,广东,6000,8885,https://detail.tmall.com/item.htm?id=662887123493&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/883737303/O1CN01efG9nZ23opETZ7jYy_!!0-item_pic.jpg
新品现货【送碎屏险24期分期】小米Redmi 红米K50 Pro 天玑9000手机5G小米k50官方旗舰店正品官网红米k50 pro,2499.00,广东,6000,2405,https://detail.tmall.com/item.htm?id=669826529070&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2024314280/O1CN01ZFhMP31hUHvVZhLtb_!!0-item_pic.jpg
【新品上市】华为/HUAWEI 畅享50 新款智能手机6000mAh大电池6.75英寸影音大屏86dB大音量搭载鸿蒙系统学生机,1499.00,广东,6000,1253,https://detail.tmall.com/item.htm?id=673653128280&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/2838892713/O1CN01zf4xtG1VubI3tUwZK_!!0-item_pic.jpg
HUAWEI/华为 畅享20e 智能手机大电池高清大屏双卡双待新品新款华为官方旗舰店官网学生机,1399.00,广东,6000,8735,https://detail.tmall.com/item.htm?id=657301414788&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/2838892713/O1CN012haqED1VubI8PUV1C_!!0-item_pic.jpg
【直播间专享！】iPhone 13 5G手机苹果13手机官方旗舰店iphone13正品苹果苹果13,5999.00,广东,5000,1066,https://detail.tmall.com/item.htm?id=656171747260&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/713805254/O1CN01uVCAAQ1ogNgz378to_!!0-item_pic.jpg
HUAWEI/华为nova 8 SE 新款智能手机大屏全网通6400万高清四摄66W超级快充华为官方旗舰店学生机老人机,2099.00,广东,5000,4124,https://detail.tmall.com/item.htm?id=662217987752&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2838892713/O1CN01lyRWrF1VubI7iQdGs_!!0-item_pic.jpg
移动用户专享570小米Redmi红米Note 9 5G手机中国移动官旗学生小米note9小米官方旗舰店官网正品,1449.00,浙江,5000,18989,https://detail.tmall.com/item.htm?id=632511241760&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1776456424/O1CN01iGlQWH1xKF5YbX8Qo_!!0-item_pic.jpg
HUAWEI nova 9 Pro 全网通双3200万前置Vlog镜头鸿蒙操作系统100W超快充华为手机256GB内存华为官方旗舰店,3299.00,广东,5000,5684,https://detail.tmall.com/item.htm?id=655524197256&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2838892713/O1CN01LG9RUC1VubI70w2h3_!!0-item_pic.jpg
【至高省1100 赢线控耳机】vivo iQOO 9 Pro新品120W闪充2K E5屏骁龙8游戏5g手机爱酷官方旗舰店vivoiqoo9pro,5499.00,广东,5000,5366,https://detail.tmall.com/item.htm?id=665063206352&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/883737303/O1CN01GHnB3q23opEJDaD2M_!!0-item_pic.jpg
【下单立减800元 移动用户专享】苹果13Pro手机中国移动官旗iPhone13Pro苹果手机官方旗舰店5G,11999.00,浙江,5000,4351,https://detail.tmall.com/item.htm?id=655427889453&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1776456424/O1CN01fLuwYc1xKF5fK5I3F_!!0-item_pic.jpg
HONOR/荣耀X30i 5G手机荣耀官方旗舰店新品正品全新智能拍照电竞游戏音乐手机6.7英寸,1299.00,广东,5000,13444,https://detail.tmall.com/item.htm?id=656925869424&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/1114511827/O1CN01oc6Bgi1PMoNIhFedN_!!0-item_pic.jpg
现货12期分期送碎屏宝】Redmi 红米K50 5G手机官方旗舰店正品官网红米k50旗舰新品智能游戏红米小米k50,2399.00,广东,5000,2802,https://detail.tmall.com/item.htm?id=670519127043&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2024314280/O1CN01Vt6Dme1hUHvSAjPmH_!!0-item_pic.jpg
【8+128G低至1499】realme真我GTNeo2T天玑1200-AI65W闪充学生智能拍照游戏5G手机官方旗舰gtneo2t,2099.00,广东,5000,7589,https://detail.tmall.com/item.htm?id=657281530335&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2200766936524/O1CN01V58EYQ1y42hBUyGCB_!!0-item_pic.jpg
【赠充电器】HUAWEI/华为 P50 Pro 全网通新款智能手机200倍变焦范围原色双影像单元华为官方旗舰店官网,5488.00,广东,5000,2329,https://detail.tmall.com/item.htm?id=663154942834&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2838892713/O1CN01eVIr4j1VubI0hkzB6_!!0-item_pic.jpg
【至高优惠100元】OPPO K10 5G手机拍照智能全面屏新款电竞游戏oppo手机官网旗舰店官方正品学生oppok10,1899.00,广东,4000,2350,https://detail.tmall.com/item.htm?id=672660294082&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/901409638/O1CN01lmk4PN2L4G2rg6NZ6_!!0-item_pic.jpg
【下单立减800元 移动用户专享】苹果13ProMax手机iPhone13ProMax中国移动官旗iPhone13官方旗舰店,12999.00,浙江,4000,5290,https://detail.tmall.com/item.htm?id=655429237259&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/1776456424/O1CN01mCMGpt1xKF5WEVMGK_!!0-item_pic.jpg
【赠1年延保】Apple/苹果 iPhone 13 Pro Max支持移动联通电信5G双卡双待官方自营正品新品游戏,8999.00,浙江,4000,681,https://detail.tmall.com/item.htm?id=673317934913&ns=1&abbucket=1,https:https://picasso.alicdn.com/imgextra/O1CNA1Sw5PiU2FLJ5gHodDj_!!2213856588863-0-psf.jpg
【12期免息 至高立减400元】vivo S12新品5G游戏拍照轻薄手机vivo官方旗舰店官网正品新款vivos12s10,2799.00,广东,4000,8818,https://detail.tmall.com/item.htm?id=662727761739&ns=1&abbucket=1,https:https://picasso.alicdn.com/imgextra/O1CNA1dHd6Fc1K9v9CzCJQw_!!2207440821122-0-psf.jpg
【官方旗舰店】金立V5老年手机4G全网通正品超长待机老人机大屏幕大字大声音男女电信版学生专用智能按键,69.00,广东,4000,2475,https://detail.tmall.com/item.htm?id=670381066296&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2209781585439/O1CN016swoTa1q36wd8FeBx_!!0-item_pic.jpg
【至高立省100元】realme真我GTNeo3游戏手机天玑8100 150W光速秒充120Hz畅速屏学生gt neo3,1999.00,广东,4000,4964,https://detail.tmall.com/item.htm?id=669723685934&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2200766936524/O1CN01xaZYQq1y42hJbaNFz_!!0-item_pic.jpg
【加赠99元胶囊耳机】小米红米Note 11T Pro新品天玑8100处理器游戏5G手机官网小米官方旗舰店note11,1799.00,北京,4000,940,https://detail.tmall.com/item.htm?id=673673513869&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/1714128138/O1CN01isfD6B29zFwmECpcP_!!0-item_pic.jpg
【抢4台5折至高省200赢背包】iQOO Neo6新品骁龙8智能5g游戏电竞手机爱酷官方旗舰店正品vivoiqooneo iqooneo,2799.00,广东,4000,3503,https://detail.tmall.com/item.htm?id=671392806502&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/883737303/O1CN01IAELJf23opEUzCzFj_!!0-item_pic.jpg
【6期免息 晒单返20红包】vivo T2x新品高性能拍照高刷智能学生5G游戏大内存大电池手机vivo官方旗舰正品,1899.00,广东,4000,885,https://detail.tmall.com/item.htm?id=675089890860&ns=1&abbucket=1,https:https://picasso.alicdn.com/imgextra/O1CNA18a9Uug1K9v9NapkJK_!!2207440821122-0-psf.jpg
【24期免息 至高优惠50元】OPPO Reno8 Pro 5G手机智能拍照官网正品新款游戏大内存学生oppo旗舰店,2949.00,广东,4000,1222,https://detail.tmall.com/item.htm?id=674692919983&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/901409638/O1CN01JRuXfw2L4G2qpcmVv_!!0-item_pic.jpg
【3期免息 至高优惠800】OnePlus/一加9RT 5g手机享OPPO售后游戏拍照骁龙手机一加9rt手机官方旗舰店官网正品,2349.00,广东,4000,10388,https://detail.tmall.com/item.htm?id=656201693862&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2256022143/O1CN01vHVeRc1RhXXDdT4GY_!!0-item_pic.jpg
【4G全网通】纽曼 L8S三防老年机超长待机声音大老人手机大屏大字按键移动联通电信版女功能学生官方旗舰,78.00,广东,4000,27676,https://detail.tmall.com/item.htm?id=571605208579&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1875287427/O1CN01pbmVMf24jcGNsXNLK_!!0-item_pic.jpg
下单立减20元红米9A中国移动官旗大电池大屏幕老人学生小米智能手机小米官方旗舰店Redmi 9A小米红米,799.00,浙江,4000,6775,https://detail.tmall.com/item.htm?id=630937178913&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/1776456424/O1CN01Owx7rz1xKF5dC68CZ_!!0-item_pic.jpg
纽曼F9翻盖老人机超长待机大容量电池老年手机大屏大字大声音全语音王电信4G学生男女老年人官方授权旗舰正品,188.00,广东,4000,31472,https://detail.tmall.com/item.htm?id=552578279064&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2080231551/O1CN01ypmYBV1NKP31hAUnV_!!0-item_pic.jpg
【24期免息】OPPO Reno8 Pro+ 5G手机智能拍照官网正品新款电竞游戏大内存学生oppo旗舰店,3699.00,广东,4000,1586,https://detail.tmall.com/item.htm?id=674692043824&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/901409638/O1CN01JHM4jU2L4G2s0pPfX_!!0-item_pic.jpg
【券后低至2299元 享6期免息】OnePlus/一加 Ace手机天玑8100-MAX 120Hz柔性屏幕游戏独立芯片oppo售后,2399.00,广东,4000,2965,https://detail.tmall.com/item.htm?id=672339773208&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2256022143/O1CN01SCEz1F1RhXX3y2iKt_!!0-item_pic.jpg
【立省400 整点赢耳机】vivo iQOO Z5x新品天玑长续航学生游戏拍照5g手机爱酷官方旗舰店正品vivoiqooz5x,1599.00,广东,3000,7024,https://detail.tmall.com/item.htm?id=657301374682&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/883737303/O1CN01EqyQA223opEJGyXXR_!!0-item_pic.jpg
【老年机备用机优选】小米红米手机Redmi 10A 5000mAh大电量大屏幕智能游戏拍照小米官方旗舰店,699.00,北京,3000,1078,https://detail.tmall.com/item.htm?id=670909257087&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/1714128138/O1CN01u2k5tt29zFwko1OzT_!!0-item_pic.jpg
【至高省100元 整点赢耳机】vivo iQOO U5x新品手机千元学生老人大电池智能爱酷iq00官方旗舰店vivoiqoou5x,899.00,广东,3000,1727,https://detail.tmall.com/item.htm?id=670226534820&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/883737303/O1CN01E6wnnn23opEV8mSXG_!!0-item_pic.jpg
HONOR/荣耀Magic4 5G手机 高通骁龙8芯片 潜望长焦摄像头 高频高刷曲面屏66W超级快充官方旗舰店官网智能拍照,3999.00,广东,3000,5414,https://detail.tmall.com/item.htm?id=669580414412&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1114511827/O1CN01jqglVw1PMoNJSrsBN_!!0-item_pic.jpg
【4G全网通】金立L9老人机超长待机正品老年手机男女士学生专用电信版大屏大字大声音一键拨号官方旗舰店 530,139.00,江苏,3000,15457,https://detail.tmall.com/item.htm?id=642977007047&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2616970884/O1CN01TkDYtT1IOusZ6cjI9_!!0-item_pic.jpg
移动用户专享300Redmi红米K40S 5g小米手机中国移动官旗骁龙870小米智能游戏红米k40s旗舰官网正品小米官方,2199.00,浙江,3000,615,https://detail.tmall.com/item.htm?id=670670990968&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/1776456424/O1CN01ND8fQ01xKF5iCEJWP_!!0-item_pic.jpg
【官方旗舰店】诺基亚105老年手机老人机超长待机声音大迷你小学生专用儿童经典款手机备用旗舰店正品,139.00,天津,3000,31826,https://detail.tmall.com/item.htm?id=604509555601&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/3367335567/O1CN01bahkZu1qzjf9Cmfpt_!!0-item_pic.jpg
